Name,AUID,Coords,Const,Type,Period,Mag
"CSS_J033835.5+022528","--","03 38 35.53 +02 25 28.9","Tau","RRAB","0.466731","13.30 (1.02) CV"
"CSS_J034321.4+112309","--","03 43 21.43 +11 23 09.3","Tau","RRAB","0.5103640","18.486 (1.08) CV"
"CSS_J034500.6+200612","--","03 45 00.66 +20 06 11.6","Tau","RRAB","0.5214069","15.931 (1.29) CV"
"CSS_J034530.2+112331","--","03 45 30.26 +11 23 31.3","Tau","EW","0.538243","15.56 (1.05) CV"
"CSS_J034848.6+045227","--","03 48 48.67 +04 52 27.9","Tau","RRAB","0.5756217","18.753 (1.03) CV"
"CSS_J034910.4+081704","--","03 49 10.41 +08 17 04.2","Tau","RRAB","0.4858525","16.482 (1.18) CV"
"CSS_J035012.7+283154","--","03 50 12.78 +28 31 54.8","Tau","RRAB","0.5094672","16.814 (1.12) CV"
"CSS_J035023.3+273344","--","03 50 23.38 +27 33 44.7","Tau","EA","2.43277","15.63 (1.31) CV"
"CSS_J035144.7+112502","--","03 51 44.73 +11 25 02.6","Tau","EW","0.7112066","17.67 (1.00) CV"
"CSS_J035311.8+162902","--","03 53 11.77 +16 29 03.0","Tau","RRAB","0.606758","19.02 (1.03) CV"
"CSS_J035445.2+040356","--","03 54 45.20 +04 03 57.0","Tau","RRAB","0.4767401","19.190 (1.25) CV"
"CSS_J035457.0+014326","--","03 54 57.06 +01 43 26.2","Tau","ACEP","0.95916","16.55 (1.21) CV"
"CSS_J035507.9+224631","--","03 55 07.91 +22 46 31.0","Tau","RRAB","0.59798","19.28 (1.24) CV"
"CSS_J035554.0+230403","--","03 55 54.03 +23 04 03.0","Tau","RRAB","0.533031","19.37 (1.11) CV"
"CSS_J035601.1+145709","--","03 56 01.12 +14 57 09.8","Tau","RRAB","0.473621","19.53 (1.22) CV"
"CSS_J035618.1+115111","--","03 56 18.20 +11 51 11.8","Tau","SR","158.21714","15.474 (1.550) r"
"CSS_J035844.1+115228","--","03 58 44.14 +11 52 28.4","Tau","RRAB","0.5302019","18.782 (1.02) CV"
"CSS_J035923.5+111909","--","03 59 23.58 +11 19 08.7","Tau","RRAB","0.600741","18.67 (1.26) CV"
"CSS_J035958.1+215622","--","03 59 58.17 +21 56 22.7","Tau","EA","1.0560331","15.87 (1.33) CV"
"CSS_J040015.1+082226","--","04 00 15.15 +08 22 27.0","Tau","RRAB","0.5796201","18.980 (1.10) CV"
"CSS_J040138.0+255524","--","04 01 38.20 +25 55 23.5","Tau","RRAB","0.5590349","18.842 (1.015) g"
"CSS_J040206.1+264811","--","04 02 06.18 +26 48 11.2","Tau","RRAB","0.4955532","19.381 (1.15) CV"
"CSS_J040232.3+115150","--","04 02 32.40 +11 51 50.8","Tau","SR","158.982","16.851 (1.810) r"
"CSS_J040235.7+194327","--","04 02 35.73 +19 43 27.2","Tau","EA","1.27505","15.76 (1.05) CV"
"CSS_J040347.1+161129","--","04 03 47.22 +16 11 30.0","Tau","RRAB","0.514311","19.23 (1.09) CV"
"CSS_J040530.0+190109","--","04 05 30.10 +19 01 08.3","Tau","RRAB","0.595249:","19.30 (1.33) CV"
"CSS_J040552.0+033725","--","04 05 52.01 +03 37 25.5","Tau","RRAB","0.4137198","19.09 (1.32) CV"
"CSS_J040726.9+234610","--","04 07 26.94 +23 46 10.0","Tau","RRAB","0.4631922","17.439 (1.04) CV"
"CSS_J040731.3+085534","--","04 07 31.40 +08 55 34.6","Tau","RRAB","0.558895","18.87 (1.01) CV"
"CSS_J040834.6+155231","--","04 08 34.61 +15 52 31.4","Tau","RRAB","0.5627301","18.26 (1.16) CV"
"CSS_J040856.0+145553","--","04 08 56.09 +14 55 53.9","Tau","EA","2.9478","15.83 (1.60) CV"
"CSS_J040922.2+210956","--","04 09 22.25 +21 09 56.7","Tau","RRAB","0.5316569","19.43 (1.03) CV"
"CSS_J041007.2+160212","--","04 10 07.27 +16 02 12.8","Tau","RRAB","0.6368392","19.485 (1.10) CV"
"CSS_J041726.3+144519","--","04 17 26.32 +14 45 19.0","Tau","RRAB","0.512595","18.77 (1.11) CV"
"CSS_J041736.1+183724","--","04 17 36.17 +18 37 24.8","Tau","RRAB","0.486082","19.17 (1.21) CV"
"CSS_J041826.3+034025","--","04 18 26.34 +03 40 25.9","Tau","RRAB","0.4270555","16.24 (1.11) CV"
"CSS_J042001.7+171645","--","04 20 01.81 +17 16 45.8","Tau","CWA","16.6353","16.28 (1.05) CV"
"CSS_J042354.8+062006","--","04 23 54.82 +06 20 06.9","Tau","RRAB","0.517078","18.89 (1.27) CV"
"CSS_J042420.5+293049","--","04 24 20.53 +29 30 49.7","Tau","EA","1.2229917","16.96 (1.02) CV"
"CSS_J042523.0+113458","--","04 25 23.06 +11 34 58.3","Tau","RRAB","0.5136273","19.171 (1.09) CV"
"CSS_J042549.6+152442","--","04 25 49.65 +15 24 42.8","Tau","EA","5.1685","14.82 (1.12) CV"
"CSS_J042726.0+044824","--","04 27 26.05 +04 48 24.1","Tau","RRAB","0.5012109","18.774 (1.08) CV"
"CSS_J042744.4+184639","--","04 27 44.45 +18 46 39.0","Tau","EA","1.8384780","15.11 (1.42) CV"
"CSS_J042859.4+065512","--","04 28 59.46 +06 55 12.5","Tau","RRAB","0.4720444","14.719 (1.17) CV"
"CSS_J042906.5+303340","--","04 29 06.43 +30 33 41.0","Tau","SR","243.25089","16.524 (1.709) g"
"CSS_J043001.6+061313","--","04 30 01.64 +06 13 13.0","Tau","LPV","133.12","15.57 (1.19) CV"
"CSS_J043025.0+043309","--","04 30 25.08 +04 33 09.6","Tau","RRAB","0.5289279","18.976 (1.01) CV"
"CSS_J043447.5+192616","--","04 34 47.50 +19 26 16.6","Tau","EA","1.33128","16.44 (1.05) CV"
"CSS_J043637.1+222449","--","04 36 37.16 +22 24 49.4","Tau","EA","1.5366100","17.16 (1.53) CV"
"CSS_J043655.9+212221","--","04 36 55.92 +21 22 21.5","Tau","RRAB","0.46368","16.205 (1.12) CV"
"CSS_J043715.9+153013","--","04 37 15.97 +15 30 13.7","Tau","EA","0.8704058","15.27 (1.01) CV"
"CSS_J043729.1+200214","--","04 37 29.18 +20 02 14.6","Tau","EA","0.8712144","17.15 (1.15) CV"
"CSS_J043854.7+112502","--","04 38 54.78 +11 25 02.3","Tau","EA","3.0962240","16.39 (1.46) CV"
"CSS_J044041.9+152955","--","04 40 41.91 +15 29 55.7","Tau","R:","0.137598","18.91 (1.30) CV"
"CSS_J044516.2+170708","--","04 45 16.21 +17 07 08.8","Tau","EA","2.48528","17.17 (1.09) CV"
"CSS_J044743.0+161234","--","04 47 43.12 +16 12 33.6","Tau","RRAB","0.540461","19.15 (1.19) CV"
"CSS_J044823.0+293943","--","04 48 23.00 +29 39 43.5","Tau","EA","1.1409","17.75 (1.12) CV"
"CSS_J044848.8+205508","--","04 48 48.82 +20 55 08.6","Tau","EA","0.7179344","14.13 (1.19) CV"
"CSS_J044932.3+182438","--","04 49 32.36 +18 24 38.9","Tau","M","141.044","18.303 (2.078) g"
"CSS_J045020.3+283451","--","04 50 20.33 +28 34 51.8","Tau","EA","0.576536","16.31 (1.04) CV"
"CSS_J045209.7+294623","--","04 52 09.78 +29 46 23.5","Tau","EB","3.78592","15.19 (1.03) CV"
"CSS_J050322.5+185651","--","05 03 22.56 +18 56 51.8","Tau","RRAB","0.4618944","15.633 (1.00) CV"
"CSS_J050325.2+185050","--","05 03 25.25 +18 50 50.3","Tau","EA","2.16607","15.77 (1.43) CV"
"CSS_J050443.4+220350","--","05 04 43.49 +22 03 50.5","Tau","RRAB","0.4918510","18.79 (1.20) CV"
"CSS_J050624.6+165227","--","05 06 24.79 +16 52 30.7","Tau","RRAB","0.562921","18.269 (1.089) g"
"CSS_J050625.7+165538","--","05 06 25.74 +16 55 39.7","Tau","RRAB","0.439562","15.58 (1.07) CV"
"CSS_J051234.8+201251","--","05 12 34.87 +20 12 51.5","Tau","EA","0.8427452","17.48 (1.06) CV"
"CSS_J051357.8+161628","--","05 13 57.81 +16 16 28.4","Tau","RRAB","0.54197150","14.467 (1.04) CV"
"CSS_J051516.5+191927","--","05 15 16.52 +19 19 27.8","Tau","EA","4.3563488","15.92 (1.02) CV"
"eps Tau","000-BQH-970","04 28 37.00 +19 10 49.6","Tau","ORG","--","3.53 - 3.54 V"
"FASTT 64","--","03 30 24.25 +01 12 34.5","Tau","RRAB","0.4601217","15.783 (1.20) CV"
"FASTT 68","--","03 35 13.49 +01 04 05.0","Tau","RRAB","0.497217","15.13 (1.06) r"
"FASTT 86","--","03 27 32.07 +00 03 51.9","Tau","RRAB","0.4661950","17.170 (1.11) CV"
"Gaia DR2 165226120566865408","--","04 21 32.22 +29 21 21.8","Tau","RRAB","0.5594568","20.065 (1.001) r"
"Gaia DR2 3292356177736673408","--","04 43 11.04 +08 21 57.2","Tau","RRAB","0.5094148","19.271 (1.109) g"
"Gaia DR2 3397824601543791104","--","05 34 28.23 +18 47 26.4","Tau","RRAB","0.5431285","16.996 (1.205) g"
"Gaia DR3 119471941338354688","--","03 33 14.30 +28 16 31.1","Tau","ACV|roAm|roAp|SXARI","--","9.56 - 9.58 G"
"Gaia DR3 119644049268137600","--","03 31 43.79 +28 24 48.8","Tau","DSCT|GDOR|SXPHE","--","9.94 - 9.97 G"
"Gaia DR3 144978721317878912","--","04 31 54.76 +21 38 08.6","Tau","DSCT|GDOR|SXPHE","0.0738717","8.76 - 8.81 G"
"Gaia DR3 145146736141501184","--","04 38 06.56 +22 37 25.7","Tau","DSCT|GDOR|SXPHE","--","9.83 - 9.86 G"
"Gaia DR3 145227760700173568","--","04 35 17.23 +23 02 42.6","Tau","ROT","--","8.68 - 8.71 G"
