Name,AUID,Coords,Const,Type,Period,Mag
"RS And","000-BCS-094","23 55 21.75 +48 38 17.8","And","SRA","136","7.0 - 9.4 V"
"RT And","000-BCR-283","23 11 10.10 +53 01 33.0","And","EA/RS","0.6289285","8.93 - 9.85 V"
"SU And","000-BCT-502","00 04 36.41 +43 33 04.7","And","LC","--","8.0 - 8.5 V"
"TZ And","000-BCS-038","23 50 51.80 +47 30 28.4","And","LB:","--","8.0 - 9.3 V"
"UX And","000-BBF-087","02 33 28.75 +45 39 16.2","And","SRB","200","8.2 - 9.9 V"
"VX And","000-BBB-467","00 19 54.02 +44 42 33.9","And","SRA","375","7.5 - 9.7 V"
"WY And","000-BCR-833","23 41 29.69 +47 35 43.8","And","SRD","109.65","8.65 - 9.65 V"
"AC And","000-BCR-368","23 18 02.35 +48 46 58.3","And","RRD","0.7112376","10.70 (1.2) V"
"AN And","000-BCR-373","23 18 23.32 +41 46 25.2","And","EB","3.21952","5.96 - 6.11 V"
"AQ And","000-BCT-509","00 27 31.68 +35 35 14.5","And","SRB","169","7.7 - 9.5 V"
"AY And","000-BDC-787","23 01 36.95 +52 51 21.2","And","RS","37.75","9.64 - 9.82 V"
"BX And","000-BBD-503","02 09 03.42 +40 47 39.2","And","EB","0.6101119","8.87 - 9.53 V"
"BZ And","000-BCT-513","00 37 37.74 +45 36 15.3","And","LB","--","7.7 - 8.6 V"
"CC And","000-BCT-514","00 43 48.01 +42 16 55.8","And","HADS","0.1249071","9.19 - 9.46 V"
"CG And","000-BDC-799","00 00 43.63 +45 15 12.0","And","ACV","3.73975","6.32 - 6.42 V"
"CV And","000-BDC-808","23 00 59.53 +50 18 34.9","And","M","255.2580339","15.330 (4.905) g"
"EG And","000-BBC-010","00 44 37.19 +40 40 45.7","And","ZAND+E","482.57","6.97 - 7.8 V"
"EW And","000-BDC-661","23 26 57.36 +49 30 59.0","And","LB","--","8.8 - 9.4 V"
"FQ And","000-BDC-847","01 51 51.98 +38 51 58.9","And","RRAB","0.4897503","16.300 (1.12) CV"
"FT And","000-BDC-849","02 30 51.18 +38 15 00.6","And","RRAB","0.4967685","16.462 (1.11) CV"
"GG And","000-BCR-729","23 37 19.82 +47 06 28.2","And","SRB:","--","8.4 - 8.9 V"
"GR And","000-BDC-862","00 28 28.57 +32 26 15.9","And","ACV","546.87","6.87 - 6.95 V"
"GY And","000-BBD-180","01 38 31.82 +45 23 59.0","And","ACV","8000:","6.27 - 6.44 V"
"HN And","000-BDC-874","01 24 18.67 +43 08 31.6","And","ACV","69.92","6.67 - 6.76 V"
"IL And","000-BDC-885","00 46 13.52 +39 46 08.0","And","EA","0.86759","14.68 (1.4) CV"
"IN And","000-BDC-887","00 47 57.86 +43 59 56.4","And","RRAB","0.5698707","16.127 (1.07) CV"
"IQ And","000-BDC-890","00 55 33.06 +38 22 03.4","And","RRAB","0.4870802","16.586 (1.04) CV"
"IR And","000-BDC-891","00 55 52.70 +40 37 46.7","And","RRAB","0.50530","16.096 (1.06) CV"
"KS And","000-BCR-932","23 45 05.25 +46 55 30.6","And","LB","--","9.4 - 10.0 p"
"KU And","000-BDC-904","00 06 52.76 +43 05 02.4","And","M","720.0","15.553 (5.180) r"
"KX And","000-BCR-216","23 07 06.21 +50 11 32.5","And","BE","--","6.88 - 7.28 V"
"KY And","000-BCT-530","23 09 16.75 +49 39 02.2","And","BE","--","6.68 - 6.95: V"
"KZ And","000-BCT-531","23 09 57.36 +47 57 30.1","And","BY","3.03","7.91 - 8.03 V"
"LN And","000-BCR-136","23 02 45.15 +44 03 31.5","And","SPB:","3.2506","6.37 - 6.40 V"
"LP And","000-BDC-907","23 34 27.53 +43 33 01.2","And","M","614","15.12 (2.2) CV"
"LQ And","000-BCS-206","23 58 46.44 +46 24 47.5","And","BE","0.309446","6.50 - 6.66 V"
"LR And","000-BDC-908","00 22 49.88 +29 27 15.4","And","ELL","1.432321","7.10 - 7.15 V"
"NW And","000-BDC-937","01 13 27.75 +37 44 38.0","And","RRAB","0.4536396","15.800 (1.20) CV"
"OP And","000-BDC-942","01 36 27.20 +48 43 22.0","And","RS","2.35954","5.92 - 6.26 V"
"OQ And","000-BCT-532","01 42 07.80 +39 24 43.9","And","LB","--","7.64 - 7.73 V"
"OT And","000-BCT-534","23 20 01.22 +41 45 17.5","And","EA","20.85293","7.32 - 7.86 V"
"OU And","000-BDC-943","23 49 40.96 +36 25 31.0","And","FKCOM:","24.2:","5.87 - 5.94 V"
"OX And","000-BDC-945","01 52 46.35 +37 12 41.1","And","RRAB","0.4934027","15.213 (1.10) CV"
"OZ And","000-BDC-947","02 06 48.19 +36 26 22.8","And","RRAB","0.4960310","15.718 (1.07) CV"
"PV And","000-BDC-952","23 55 37.94 +46 21 29.9","And","ACV","3.5112","6.91 - 6.99 V"
"V0341 And","000-BCT-540","00 07 10.18 +34 51 13.7","And","LB","--","8.63 - 8.94 Hp"
"V0342 And","000-BDC-961","00 10 03.19 +46 23 25.1","And","EA","2.63934","7.58 - 7.72 Hp"
"V0343 And","000-BDC-962","00 10 47.20 +32 14 33.3","And","LB","--","7.04 - 7.55 Hp"
"V0345 And","000-BCT-541","00 12 15.80 +43 49 05.5","And","SRB:","45.13","7.79 - 7.98 Hp"
"V0346 And","000-BDC-963","00 13 50.23 +36 51 37.0","And","LB:","--","8.98 - 9.10 Hp"
"V0347 And","000-BDC-964","00 13 49.55 +25 33 07.0","And","SRS:","15.11","9.38 - 9.72 Hp"
"V0348 And","000-BBB-352","00 15 17.83 +44 12 12.2","And","EA","5.8762","6.76 - 6.89 V"
"V0349 And","000-BDC-965","00 16 09.43 +47 53 34.2","And","LB:","--","8.81 - 8.93 Hp"
"V0350 And","000-BDC-966","00 26 02.69 +35 49 09.4","And","EA","1.538824:","7.56 - 7.63 Hp"
"V0351 And","000-BDC-967","00 28 01.36 +27 05 50.6","And","LB","50.375296","9.12 - 9.49 Hp"
"V0352 And","000-BDC-968","00 29 11.15 +44 59 42.2","And","LB:","--","9.01 - 9.13 Hp"
"V0353 And","000-BCT-542","00 30 26.23 +40 22 08.9","And","LB:","--","9.44 - 9.59 Hp"
"V0354 And","000-BDC-969","00 33 36.82 +39 53 03.2","And","SRD:","10.877","8.65 - 8.78 Hp"
"V0355 And","000-BDC-970","00 44 11.26 +46 14 08.0","And","EA","4.71841","7.46 - 7.85 V"
"V0356 And","000-BDC-971","00 44 39.01 +36 36 09.0","And","LB:","--","9.04 - 9.17 Hp"
"V0357 And","000-BDC-972","00 52 53.38 +38 32 55.8","And","ELL:","0.83119","6.70 - 6.74 Hp"
"V0358 And","000-BDC-973","00 59 21.93 +42 51 04.2","And","LB:","--","8.22 - 8.36 Hp"
"V0360 And","000-BCT-543","01 04 04.50 +38 41 18.7","And","LB","--","7.05 - 7.23 Hp"
"V0361 And","000-BDC-975","01 09 45.32 +38 07 28.3","And","DSCTC","0.1140500","7.79 - 7.83 Hp"
"V0362 And","000-BDC-976","01 28 07.00 +42 28 01.1","And","EA","18.518518:","8.42 - 8.55 Hp"
"V0363 And","000-BDC-977","01 31 46.57 +36 05 38.0","And","EA","1.2779742","9.03 - 9.23 V"
"V0364 And","000-BDC-978","01 32 50.47 +45 37 31.7","And","LB","--","9.21 - 9.31 Hp"
"V0365 And","000-BDC-979","01 36 46.74 +48 18 55.7","And","DSCTC","0.142816","7.49 - 7.53 Hp"
"V0366 And","000-BCT-544","01 43 11.11 +48 31 00.4","And","LC","--","6.73 - 7.00 V"
"V0367 And","000-BCT-545","01 51 09.29 +38 01 26.2","And","SRS:","24.457:","7.11 - 7.45 Hp"
"V0368 And","000-BCT-546","01 51 43.21 +39 08 26.3","And","LB","--","9.01 - 9.58 Hp"
"V0369 And","000-BDC-980","01 57 54.90 +47 33 52.8","And","LB:","--","9.07 - 9.18 Hp"
"V0370 And","000-BCT-547","01 58 44.33 +45 26 06.9","And","SRB","119","6.85 - 8.05 V"
"V0371 And","000-BDC-981","02 02 12.93 +36 43 01.2","And","BY:","1.4937","8.30 - 8.34 Hp"
"V0372 And","000-BDC-982","02 05 18.18 +45 05 34.1","And","EA","2.940986","9.05 - 9.53 Hp"
"V0373 And","000-BDC-983","02 05 46.22 +39 45 35.2","And","DSCTC","0.1128020","7.63 - 7.69 Hp"
"V0375 And","000-BBF-053","02 32 06.50 +50 10 50.9","And","SRB","54:","6.99 - 7.26 V"
"V0376 And","000-BCY-863","02 35 11.63 +49 51 37.2","And","EB","0.7986770","7.62 - 7.95 V"
"V0377 And","000-BDC-985","02 36 18.89 +40 12 17.5","And","EA","2.55428","7.46 - 7.58 Hp"
"V0378 And","000-BCR-099","23 00 54.75 +38 42 28.3","And","SPBe","0.4918","6.47 - 6.64 V"
"V0379 And","000-BDC-986","23 06 32.96 +46 55 25.0","And","IA:","--","7.70 - 7.85 Hp"
"V0380 And","000-BDC-987","23 06 37.05 +42 39 26.5","And","SPB","1.37678","7.97 - 8.02 Hp"
"V0382 And","000-BDC-988","23 09 57.97 +42 50 09.3","And","EB","1.478983","9.16 - 9.44 Hp"
"V0383 And","000-BDC-989","23 15 49.34 +42 34 44.4","And","LB:","--","8.35 - 8.46 Hp"
"V0384 And","000-BDC-990","23 23 51.97 +49 04 07.7","And","LB:","--","9.22 - 9.41 Hp"
"V0386 And","000-BDC-991","23 24 14.93 +35 29 46.5","And","LB:","--","9.32 - 9.53 Hp"
"V0387 And","000-BDC-992","23 25 36.10 +52 58 46.1","And","LB","--","6.76 - 6.87 Hp"
"V0388 And","000-BCR-553","23 27 07.40 +42 54 43.2","And","ACV","1.47946","5.73 - 5.77 Hp"
"V0389 And","000-BCR-659","23 32 01.31 +43 49 20.5","And","EA","25.77827","8.18 - 8.62 V"
"V0390 And","000-BDC-993","23 32 56.48 +46 07 25.2","And","SRB","303","6.56 - 6.75 Hp"
"V0391 And","000-BDC-994","23 35 24.17 +36 44 54.0","And","LB","--","9.05 - 9.43 Hp"
"V0392 And","000-BDC-995","23 38 48.73 +44 24 45.3","And","EA","4.046275","9.07 - 9.41 V"
"V0394 And","000-BCR-827","23 41 20.24 +46 51 36.2","And","SPB","1.7776","7.40 - 7.42 Hp"
"V0395 And","000-BDC-997","23 44 32.14 +46 22 48.6","And","EW","0.684656","7.57 - 7.61 V"
"V0396 And","000-BCS-045","23 51 33.44 +47 29 15.9","And","DSCTC","0.1047310","7.92 - 7.95 Hp"
"V0397 And","000-BDC-998","23 52 07.52 +37 51 00.9","And","LB:","--","8.60 - 8.72 Hp"
"V0398 And","000-BDC-999","23 52 45.08 +34 58 18.5","And","LB:","--","8.23 - 8.34 Hp"
"V0399 And","000-BDD-000","23 53 00.08 +41 20 44.5","And","LB","--","6.95 - 7.05 Hp"
"V0400 And","000-BDD-001","23 58 57.81 +40 47 31.9","And","EA","4.5425","8.65 - 8.95 CV"
"V0401 And","000-BDD-002","00 00 54.77 +32 49 32.4","And","LB:","--","9.04 - 9.14 Hp"
"V0406 And","000-BDD-006","02 35 25.61 +45 56 03.1","And","EB","2.165032","9.22 - 9.42 V"
"V0414 And","000-BCT-549","00 09 36.86 +37 47 32.1","And","M","288","15.818 (4.232) g"
"V0428 And","000-BBB-880","00 36 46.44 +44 29 18.9","And","SR","--","5.08 - 5.16 V"
"V0436 And","000-BBD-737","02 21 02.67 +42 56 38.3","And","ACV","26.87","7.25 - 7.28 V"
"V0442 And","000-BCY-681","01 03 53.36 +47 38 32.3","And","GCAS","--","6.63 - 6.86 V"
"V0457 And","000-BPF-277","00 45 42.20 +46 11 57.8","And","M","233:","15.890 (4.668) g"
"V0461 And","--","23 11 58.96 +49 39 36.9","And","LB","--","9.6 - 9.9 *"
"V0470 And","--","00 12 50.25 +37 41 37.2","And","SPB","2.74725","6.66 - 6.70 Hp"
"V0498 And","--","00 40 20.90 +43 43 25.3","And","RS","10.78","9.13 - 9.25 R1"
"V0529 And","--","01 27 26.67 +41 06 04.2","And","GDOR+DSCT","0.40331","6.48 - 6.51 Hp"
"V0607 And","--","23 07 41.87 +45 09 31.4","And","LB","--","9.04 - 9.6 R1"
"V0613 And","--","23 10 12.42 +47 34 14.2","And","EA","1.875798","9.15 - 9.61 R1"
"V0614 And","--","23 10 50.26 +48 15 49.3","And","LB","--","9.56 - 9.87 R1"
"V0615 And","--","23 11 30.06 +47 02 52.4","And","M","373.9225711","14.066 (3.964) r"
"V0624 And","--","23 15 31.45 +44 11 25.2","And","LB","--","9.34 - 9.57 R1"
"V0636 And","--","23 19 31.93 +49 27 24.9","And","LB","--","9.34 - 9.52 R1"
"V0637 And","--","23 19 45.40 +44 49 29.7","And","LB","--","8.83 - 9.11 R1"
"V0640 And","--","23 21 17.38 +49 28 46.7","And","LB","--","9.7 - 9.95 R1"
"V0650 And","--","23 24 41.26 +46 38 26.1","And","LB","--","9.15 - 9.36 R1"
"V0668 And","--","23 29 53.80 +46 58 08.3","And","LB","--","9.35 - 9.55 R1"
"V0690 And","--","23 39 06.28 +44 03 05.9","And","LB","215","9.4 - 9.92 R1"
"V0693 And","--","23 40 40.75 +44 48 55.9","And","LB","--","9.25 - 9.5 R1"
"V0718 And","000-BFX-283","00 15 40.10 +23 28 28.5","And","SRS","29.41","8.79 - 9.15 V"
"V0727 And","--","00 42 53.70 +36 30 01.3","And","LB","--","9.5 - 9.9 R"
"V0813 And","000-BMY-850","23 14 22.40 +48 23 51.2","And","BY","0.415324","9.13 - 9.55 V"
"zet And","000-BCT-556","00 47 20.32 +24 16 01.8","And","ELL/RS","17.769586","3.92 - 4.14 V"
"lam And","000-BCR-733","23 37 33.84 +46 27 29.4","And","RS","53.95","3.65 - 4.05 V"
"omi And","000-BCR-111","23 01 55.26 +42 19 33.5","And","GCAS","--","3.55 - 3.89 V"
"1SWASP J012105.92+343637.1","000-BJX-546","01 21 05.92 +34 36 37.2","And","DSCT","0.1107286","9.822 - 9.859 CV"
"1SWASP J234354.02+470141.0","--","23 43 53.18 +47 01 03.3","And","RRAB","0.4535247","16.524 (1.452) g"
"2MASS J00441577+4117503","--","00 44 15.77 +41 17 50.5","And","SRC:","412.1238042","18.884 (1.261) r"
"ASASSN-V J001250.78+435546.8","--","00 12 50.78 +43 55 46.8","And","EA","2.9041","15.98 (1.42) g"
"ASASSN-V J001341.80+291739.8","--","00 13 41.78 +29 17 39.9","And","SR","595","10.62 (1.09) g"
"ASASSN-V J001431.40+395745.9","--","00 14 31.41 +39 57 45.9","And","EA","1.3193","15.31 (1.32) g"
"ASASSN-V J002005.70+375502.6","--","00 20 05.71 +37 55 02.6","And","EA","3.061","13.54 (1.53) g"
"ASASSN-V J013934.88+490208.7","--","01 39 34.88 +49 02 08.8","And","EA","0.620699","14.40 (1.08) g"
"ASASSN-V J022039.27+461658.8","--","02 20 39.27 +46 16 58.8","And","EA","3.0313","15.04 (1.10) g"
"ASASSN-V J023112.64+461956.1","--","02 31 12.64 +46 19 56.1","And","EA","1.3397","15.27 (1.62) g"
"ASASSN-V J225923.72+481158.8","--","22 59 23.72 +48 11 58.9","And","M","398","17.08 (4.27) g"
"ASASSN-V J230356.41+484431.9","--","23 03 56.42 +48 44 31.9","And","EA","1.8724","15.69 (1.01) g"
"ASASSN-V J231051.50+473541.0","--","23 10 51.50 +47 35 41.1","And","EB","0.561071","15.07 (1.06) g"
"ASASSN-V J232531.96+413347.6","--","23 25 31.96 +41 33 47.7","And","EA","3.556","15.72 (1.24) g"
"ASASSN-V J233950.17+423633.6","--","23 39 50.17 +42 36 33.6","And","EA","1.6503","15.48 (1.01) g"
"BD+24 95","--","00 41 02.40 +25 15 38.9","And","DSCT","0.11992","9.88 - 9.90 CR"
"BD+44 408","000-BNT-504","02 02 18.12 +44 44 20.5","And","DSCT","0.0872","9.39 - 9.42 V"
"BD+46 442","000-BLG-625","01 45 47.03 +46 49 00.9","And","R:","140.77","9.61 - 9.82 R1"
"BD+46 500","000-BNJ-232","02 02 42.90 +47 07 52.6","And","SRB","57.47","9.44 - 9.96 V"
"BD+47 4044","--","23 08 00.00 +47 58 41.4","And","ACV","13.8","9.54 - 9.59 CV"
"BD+48 4001","000-BMY-922","23 19 52.12 +49 18 47.1","And","SRB","435","9.53 - 9.73 V"
"bet And","000-BBC-412","01 09 43.92 +35 37 14.0","And","LB","--","2.01 - 2.10 V"
"CSS 131208:004610+351540","000-BLF-923","00 46 09.81 +35 15 39.6","And","UG","--","16.53 (5.87) CV"
"CSS_J001143.0+443719","--","00 11 43.06 +44 37 19.8","And","RRAB","0.552805","17.31 (1.29) CV"
"CSS_J001522.3+392714","--","00 15 22.24 +39 27 17.1","And","RRAB","0.5804996","16.490 (1.024) g"
"CSS_J001714.8+283103","--","00 17 14.83 +28 31 03.9","And","EA","3.3224","17.72 (1.55) CV"
"CSS_J002038.6+223409","--","00 20 38.67 +22 34 09.8","And","EA","2.24643","14.87 (1.14) CV"
"CSS_J002122.3+230947","--","00 21 22.39 +23 09 47.1","And","RRAB","0.4647803","17.650 (1.22) CV"
"CSS_J002150.4+422954","--","00 21 50.45 +42 29 54.6","And","RRAB","0.4941524","15.358 (1.12) CV"
"CSS_J002319.4+422946","--","00 23 19.40 +42 29 46.2","And","RRAB","0.6045170","17.37 (1.20) CV"
"CSS_J002456.4+251229","--","00 24 56.37 +25 12 30.7","And","RRAB","0.4700569","17.826 (1.437) g"
"CSS_J002652.3+353231","--","00 26 52.33 +35 32 31.1","And","RRAB","0.4448194","18.34 (1.29) CV"
"CSS_J002928.1+233351","--","00 29 28.13 +23 33 51.6","And","RRAB","0.4938230","17.265 (1.09) CV"
"CSS_J003348.8+241847","--","00 33 48.86 +24 18 47.2","And","RRAB","0.5126378","16.540 (1.01) CV"
"CSS_J003648.0+234437","--","00 36 48.01 +23 44 38.0","And","RRAB","0.4864097","18.305 (1.08) CV"
"CSS_J004216.1+321129","--","00 42 16.15 +32 11 29.4","And","RRAB","0.5473610","18.923 (1.08) CV"
"CSS_J004531.3+372942","--","00 45 31.39 +37 29 42.1","And","RRAB","0.60349","17.289 (1.053) g"
"CSS_J004717.1+255512","--","00 47 17.20 +25 55 12.4","And","RRAB","0.5223754","18.726 (1.16) CV"
"CSS_J004726.1+371327","--","00 47 26.16 +37 13 27.4","And","EA","1.1695988","16.43 (1.00) CV"
"CSS_J004901.4+250530","--","00 49 01.31 +25 05 31.7","And","RRAB","0.4831256","16.267 (1.294) g"
"CSS_J005918.3+351117","--","00 59 18.40 +35 11 17.2","And","RRAB","0.5319619","18.270 (1.00) CV"
"CSS_J011409.0+384047","--","01 14 09.01 +38 40 47.6","And","ACEP","1.3369967","16.37 (1.27) CV"
"CSS_J011456.8+410101","--","01 14 56.70 +41 01 00.5","And","RRAB","0.5771186","17.020 (1.156) g"
"CSS_J012039.1+414029","--","01 20 39.11 +41 40 29.8","And","EW","0.2404422","17.65 (1.02) CV"
"CSS_J012405.0+340811","--","01 24 05.02 +34 08 11.4","And","EA","0.817636","14.00 (1.01) CV"
"CSS_J012954.2+393150","--","01 29 54.25 +39 31 50.7","And","RRAB","0.6291908","18.02 (1.14) CV"
"CSS_J013349.8+395100","--","01 33 49.92 +39 51 00.5","And","RRAB","0.6452445","17.039 (1.019) g"
"CSS_J013915.9+383827","--","01 39 15.93 +38 38 27.2","And","RRAB","0.5506371","16.271 (1.04) CV"
"CSS_J014247.3+420433","--","01 42 47.15 +42 04 34.9","And","RRAB","0.468434:","15.81 (1.13) CV"
"CSS_J014709.7+393522","--","01 47 09.74 +39 35 22.3","And","RRAB","0.4628745","17.355 (1.18) CV"
"CSS_J021709.3+375256","--","02 17 09.36 +37 52 56.1","And","EA","1.022926","17.99 (1.30) CV"
"CSS_J022446.0+410655","000-BQJ-576","02 24 46.07 +41 06 55.0","And","EA","2.35506","16.53 (1.12) CV"
"CSS_J023417.9+380449","--","02 34 17.99 +38 04 49.8","And","EW","0.465416","17.42 (1.08) CV"
"CSS_J023630.9+420129","--","02 36 30.91 +42 01 29.5","And","EA","2.9057","15.92 (2.93) CV"
"CSS_J230431.0+353526","--","23 04 31.00 +35 35 26.2","And","EA","0.545591","18.19 (1.00) CV"
"CSS_J230730.4+370556","--","23 07 30.48 +37 05 56.2","And","RRAB","0.5588484","16.364 (1.08) CV"
"CSS_J230757.0+385429","--","23 07 57.08 +38 54 29.7","And","RRAB","0.4968966","16.776 (1.19) CV"
"CSS_J231138.3+420935","--","23 11 38.51 +42 09 37.3","And","RRAB","0.4777808","16.528 (1.023) r"
"CSS_J232252.0+421806","--","23 22 52.01 +42 18 06.2","And","RRAB","0.4565324","17.012 (1.14) CV"
"CSS_J232414.8+404430","--","23 24 14.81 +40 44 30.4","And","RRAB","0.5587148","15.552 (1.05) CV"
"CSS_J232556.1+414306","--","23 25 56.12 +41 43 06.8","And","LPV","506.61862","14.75 (1.16) CV"
"CSS_J233053.1+413142","--","23 30 53.13 +41 31 42.4","And","RRAB","0.5198132","17.71 (1.17) CV"
"CSS_J233420.4+401639","--","23 34 20.44 +40 16 39.6","And","EA","0.9777187","15.24 (1.01) CV"
"CSS_J233905.2+385936","--","23 39 05.24 +38 59 36.4","And","EA","0.515783","17.04 (1.09) CV"
"CSS_J234339.3+354029","000-BPK-949","23 43 39.37 +35 40 29.2","And","M","149.73996","16.121 (2.287) g"
"CSS_J234350.1+381918","--","23 43 50.07 +38 19 21.3","And","RRAB","0.589656","17.262 (1.225) g"
"CSS_J235356.7+411031","--","23 53 56.72 +41 10 31.1","And","RRAB","0.5245018","17.606 (1.17) CV"
"CSS_J235527.6+400328","--","23 55 27.61 +40 03 28.5","And","RRAB","0.4576663","16.128 (1.18) CV"
"CSS_J235536.0+341510","--","23 55 36.05 +34 15 10.2","And","RRAB","0.5126375","19.142 (1.05) CV"
"CzeV1484","--","02 20 58.64 +42 38 53.3","And","EW","0.4449419","9.89 - 9.99 V"
"Dauban V257","--","01 35 28.78 +49 22 42.0","And","M","440","19.245 (3.595) g"
"Gaia DR2 1943356982141077376","--","23 37 46.44 +48 49 51.2","And","RRAB","0.4508717","18.441 (1.239) g"
"Gaia DR2 393315654515999744","--","00 00 47.29 +48 12 11.7","And","RRAB","0.5124016","17.846 (1.347) g"
"Gaia DR3 1912748743084697088","--","23 28 48.55 +36 03 31.6","And","DSCT|GDOR|SXPHE","--","9.75 - 9.78 G"
"Gaia DR3 1913114674298537984","--","23 24 59.49 +36 00 32.7","And","L","--","9.41 - 9.54 G"
"Gaia DR3 1913147109891160064","--","23 21 36.85 +35 52 28.0","And","ROT","--","9.54 - 9.57 G"
"Gaia DR3 1913476482343788672","--","23 27 13.25 +35 57 52.2","And","ACV|roAm|roAp|SXARI","--","8.56 - 8.60 G"
"Gaia DR3 1914815859304901120","--","23 12 00.38 +35 42 12.7","And","ACV|roAm|roAp|SXARI","--","9.08 - 9.12 G"
"Gaia DR3 1914846508192682240","--","23 12 17.69 +35 57 02.2","And","ROT","--","9.91 - 9.95 G"
"Gaia DR3 1916026352887730432","--","23 00 07.28 +36 55 59.2","And","ROT","--","9.41 - 9.44 G"
"Gaia DR3 1916067790732578304","--","23 01 58.11 +37 22 00.2","And","L","--","8.27 - 8.41 G"
"Gaia DR3 1916492923774702208","--","23 16 31.14 +36 50 12.9","And","DSCT|GDOR|SXPHE","--","9.57 - 9.60 G"
"Gaia DR3 1917076249053340160","--","23 21 55.42 +38 40 55.9","And","ROT","--","9.61 - 9.64 G"
"Gaia DR3 1917115487874759424","--","23 22 42.99 +39 07 12.0","And","ROT","--","9.54 - 9.57 G"
"Gaia DR3 1917221281509510656","--","23 15 52.00 +38 45 32.2","And","ROT","--","9.88 - 9.92 G"
"Gaia DR3 1917379748622604032","--","23 20 52.89 +39 44 46.5","And","ROT","--","9.09 - 9.14 G"
"Gaia DR3 1918067871103483776","--","23 13 44.85 +39 31 11.2","And","ACV|roAm|roAp|SXARI","--","9.26 - 9.29 G"
"Gaia DR3 1918147860574180096","--","23 18 53.33 +39 56 20.8","And","ACV|roAm|roAp|SXARI","--","8.86 - 8.89 G"
"Gaia DR3 1918241868818258432","--","23 17 09.41 +40 42 43.1","And","E","0.70963","9.83 - 9.97 G"
"Gaia DR3 1918271108955124096","--","23 11 21.01 +39 45 28.9","And","L","--","9.02 - 9.20 G"
"Gaia DR3 1918426724210982912","--","23 15 06.77 +40 56 44.6","And","ACV|roAm|roAp|SXARI","--","9.57 - 9.62 G"
"Gaia DR3 1918504514656151680","--","23 14 39.81 +41 15 49.0","And","ACV|roAm|roAp|SXARI","--","8.66 - 8.73 G"
"Gaia DR3 1919389415360805888","--","23 41 33.37 +38 16 16.8","And","VAR","0.0543116","9.12 - 9.13 G"
"Gaia DR3 1920027063384821632","--","23 28 19.07 +38 45 49.1","And","ACV|roAm|roAp|SXARI","--","8.71 - 8.75 G"
"Gaia DR3 1920425430192730496","--","23 41 49.92 +40 18 53.8","And","DSCT|GDOR|SXPHE","--","8.79 - 8.84 G"
"Gaia DR3 1921024182990394240","--","23 49 52.30 +40 19 51.2","And","DSCT|GDOR|SXPHE","--","9.82 - 9.86 G"
"Gaia DR3 1921076822110039936","--","23 46 28.67 +39 44 36.9","And","DSCT|GDOR|SXPHE","0.1707203","9.95 - 9.98 G"
"Gaia DR3 1921178320776903168","--","23 45 35.02 +40 26 36.6","And","ROT","--","8.64 - 8.68 G"
"Gaia DR3 1921613761740042624","--","23 57 40.58 +42 08 32.2","And","ACV|roAm|roAp|SXARI","--","8.20 - 8.26 G"
"Gaia DR3 1922190111993435904","--","23 47 53.28 +42 28 40.1","And","ACV|roAm|roAp|SXARI","--","9.78 - 9.80 G"
"Gaia DR3 1922370397541714432","--","23 46 23.93 +42 21 47.9","And","L","--","9.52 - 9.69 G"
"Gaia DR3 1922823808648159744","--","23 53 29.65 +43 37 54.0","And","DSCT|GDOR|SXPHE","0.1119588","8.70 - 8.77 G"
"Gaia DR3 1923359786209358208","--","23 24 33.28 +40 03 40.3","And","RS","--","9.86 - 10.00 G"
"Gaia DR3 1923465682921724928","--","23 25 49.34 +40 28 56.9","And","ACV|roAm|roAp|SXARI","--","9.20 - 9.88 G"
"Gaia DR3 1923525881183784576","--","23 27 28.21 +41 12 09.4","And","ACV|roAm|roAp|SXARI","--","9.17 - 9.23 G"
"Gaia DR3 1924565641226494720","--","23 19 39.56 +42 15 09.8","And","ROT","--","8.74 - 8.79 G"
"Gaia DR3 1924619242417680640","--","23 22 18.73 +42 28 36.4","And","ACV|roAm|roAp|SXARI","--","9.43 - 9.46 G"
"Gaia DR3 1924735618853931392","--","23 27 55.08 +42 07 21.5","And","ROT","--","9.65 - 9.69 G"
"Gaia DR3 1924893604929282560","--","23 33 06.43 +43 05 17.3","And","ACV|roAm|roAp|SXARI","--","9.36 - 9.41 G"
"Gaia DR3 1924904943640664192","--","23 35 10.40 +43 13 12.6","And","E","3.15825","9.69 - 9.78 G"
"Gaia DR3 1924939062863020160","--","23 31 42.04 +43 10 30.4","And","DSCT|GDOR|SXPHE","0.84252","9.76 - 9.85 G"
"Gaia DR3 1924942258318683136","--","23 31 36.07 +43 13 03.2","And","SR|M","523.7","8.58 - 9.10 G"
"Gaia DR3 1925184013438150144","--","23 34 16.54 +43 54 09.7","And","ACV|roAm|roAp|SXARI","--","9.19 - 9.22 G"
"Gaia DR3 1925545099929977856","--","23 46 52.03 +43 40 46.4","And","ACV|roAm|roAp|SXARI","--","9.18 - 9.21 G"
"Gaia DR3 1925857395589881088","--","23 48 26.31 +43 35 23.6","And","DSCT|GDOR|SXPHE","0.0617167","9.40 - 9.57 G"
"Gaia DR3 1925857498667760640","--","23 48 32.54 +43 36 20.7","And","L","--","8.17 - 8.33 G"
"Gaia DR3 1925945386582752000","--","23 48 24.11 +44 11 24.9","And","VAR","0.017857","9.08 - 9.10 G"
